id,Artist,Song Title,Year,Rank,Genre
48,Shirelles,Dedicated To The One I Love,1961.0,14,Soul/Doo-Wop
49,Shirelles,Will You Love Me Tomorrow,1961.0,16,Soul/Doo-Wop
50,Ferrante and Teicher,Exodus,1961.0,17,Instrumental Pop
51,Connie Francis,Where The Boys Are,1961.0,18,Pop
52,Ray Charles,Hit The Road Jack,1961.0,19,Soul/R&B/Jazz
53,Sue Thompson,Sad Movies (Make Me Cry),1961.0,20,Pop/Country
54,Mr. Acker Bilk,Stranger On The Shore,1962.0,1,Instrumental Jazz/Pop
55,Ray Charles,I Can't Stop Loving You,1962.0,2,Soul/R&B/Jazz
56,Dee Dee Sharp,Mashed Potato Time,1962.0,3,R&B/Soul
57,Bobby Vinton,Roses Are Red (My Love),1962.0,4,Pop
58,Shelley Fabares,Johnny Angel,1962.0,6,Pop
59,Little Eva,The Loco-Motion,1962.0,7,R&B/Soul
60,Sensations,Let Me In,1962.0,8,R&B/Soul
61,Shirelles,Soldier Boy,1962.0,10,Soul/Doo-Wop
62,Bruce Channel,Hey! Baby,1962.0,11,Rock and Roll
63,Dion,The Wanderer,1962.0,12,Rock and Roll
64,Gene Chandler,Duke Of Earl,1962.0,13,R&B/Soul
65,Freddy Cannon,Palisades Park,1962.0,14,Rock and Roll
66,Neil Sedaka,Breaking Up Is Hard To Do,1962.0,15,Pop
67,Claude King,Wolverton Mountain,1962.0,16,Country
68,Chubby Checker,Slow Twistin',1962.0,17,Rock and Roll
69,Johnny Tillotson,It Keeps Right On a-Hurtin',1962.0,18,Pop
70,Mary Wells,The One Who Really Loves You,1962.0,19,Soul/R&B
71,Elvis Presley,Good Luck Charm,1962.0,20,Rock and Roll
72,Jimmy Gilmer and The Fireballs,Sugar Shack,1963.0,1,Rock and Roll
73,Beach Boys,Surfin' U.S.A.,1963.0,2,Rock/Pop
74,Skeeter Davis,The End Of The World,1963.0,3,Country/Pop
75,Cascades,Rhythm Of The Rain,1963.0,4,Pop
76,Chiffons,He's So Fine,1963.0,5,Girl Group/Pop
77,Bobby Vinton,Blue Velvet,1963.0,6,Pop
78,Paul and Paula,Hey Paula,1963.0,7,Pop
79,Little Stevie Wonder,Fingertips II,1963.0,8,Soul/R&B
80,Village Stompers,Washington Square,1963.0,9,Jazz/Instrumental
81,Impressions,It's All Right,1963.0,10,Soul/R&B
82,Andy Williams,Can't Get Used To Losing You,1963.0,11,Pop/Vocal
83,Angels,My Boyfriend's Back,1963.0,12,Girl Group/Pop
84,Kyu Sakamoto,Sukiyaki,1963.0,13,Pop
85,Lesley Gore,She's A Fool,1963.0,14,Pop
86,Tymes,So Much In Love,1963.0,15,Soul/Doo-Wop
87,"Peter, Paul and Mary",Puff (The Magic Dragon),1963.0,16,Folk
88,"Peter, Paul and Mary",Blowin' In The Wind,1963.0,17,Folk
89,Dale and Grace,I'm Leaving It Up To You,1963.0,18,Pop
90,Nino Tempo and April Stevens,Deep Purple,1963.0,19,Pop
91,Beatles,I Want To Hold Your Hand,1964.0,1,Rock/Pop
92,Beatles,She Loves You,1964.0,2,Rock/Pop
93,Louis Armstrong,"Hello, Dolly!",1964.0,3,Jazz
94,Roy Orbison,"Oh, Pretty Woman",1964.0,4,Rock/Pop
95,Beach Boys,I Get Around,1964.0,5,Rock/Pop
96,Dean Martin,Everybody Loves Somebody,1964.0,6,Vocal Pop
97,Mary Wells,My Guy,1964.0,7,Soul/R&B
98,Gale Garnett,We'll Sing In The Sunshine,1964.0,8,Folk
99,J. Frank Wilson and The Cavaliers,Last Kiss,1964.0,9,Rock and Roll
100,Supremes,Where Did Our Love Go,1964.0,10,Soul/Pop
101,Barbara Streisand,People,1964.0,11,Pop/Vocal
102,Beatles,A Hard Day's Night,1964.0,13,Rock/Pop
103,Beatles,Love Me Do,1964.0,14,Rock/Pop
104,Manfred Mann,Do Wah Diddy Diddy,1964.0,15,Rock/Pop
105,Beatles,Please Please Me,1964.0,16,Rock/Pop
106,Martha and The Vandellas,Dancing In The Street,1964.0,17,Soul/R&B
107,Billy J. Kramer and The Dakotas,Little Children,1964.0,18,Rock/Pop
108,Ray Charles Singers,Love Me With All Your Heart,1964.0,19,Choral/Pop
109,Drifters,Under The Boardwalk,1964.0,20,Soul/R&B
110,Sam The Sham and The Pharaohs,Wooly Bully,1965.0,1,Rock and Roll
111,Four Tops,I Can't Help Myself (Sugar Pie Honey Bunch),1965.0,2,Soul/R&B
112,Rolling Stones,(I Can't Get No) Satisfaction,1965.0,3,Rock
113,We Five,You Were On My Mind,1965.0,4,Folk Rock
114,Righteous Brothers,You've Lost That Lovin' Feelin',1965.0,5,Soul/R&B
115,Petula Clark,Downtown,1965.0,6,Pop
116,Beatles,Help!,1965.0,7,Rock/Pop
117,Herman's Hermits,Can't You Hear My Heartbeat,1965.0,8,Rock/Pop
118,Elvis Presley,Crying In The Chapel,1965.0,9,Rock and Roll
119,Temptations,My Girl,1965.0,10,Soul/R&B
120,Beach Boys,"Help Me, Rhonda",1965.0,11,Rock/Pop
121,Roger Miller,King Of The Road,1965.0,12,Country/Novelty
122,Jewel Aikens,The Birds And The Bees,1965.0,13,R&B/Pop
123,Mel Carter,"Hold Me, Thrill Me, Kiss Me",1965.0,14,Pop/Soul
124,Jr. Walker and The All Stars,Shotgun,1965.0,15,Soul/R&B
125,Sonny and Cher,I Got You Babe,1965.0,16,Pop
126,Gary Lewis and The Playboys,This Diamond Ring,1965.0,17,Pop/Rock
127,Herman's Hermits,Mrs. Brown You've Got A Lovely Daughter,1965.0,19,Rock/Pop
128,Supremes,Stop! In The Name Of Love,1965.0,20,Soul/Pop
129,Association,Cherish,1966.0,2,Pop/Folk Rock
130,Righteous Brothers,(You're My) Soul And Inspiration,1966.0,3,Soul/R&B
131,Four Tops,Reach Out I'll Be There,1966.0,4,Soul/R&B
132,? and The Mysterians,96 Tears,1966.0,5,Garage Rock
133,Monkees,Last Train To Clarksville,1966.0,6,Pop/Rock
134,Mama's and The Papa's,"Monday, Monday",1966.0,7,Folk Rock/Pop
135,Supremes,You Can't Hurry Love,1966.0,8,Soul/Pop
136,Johnny Rivers,Poor Side Of Town,1966.0,9,Rock/Pop
137,Mama's and The Papa's,California Dreamin',1966.0,10,Folk Rock/Pop
138,Lovin' Spoonful,Summer In The City,1966.0,11,Rock/Soul/Pop
139,Roger Williams,Born Free,1966.0,12,Rock/Soul/Pop
140,Nancy Sinatra,These Boots Are Made For Walkin',1966.0,13,Rock/Soul/Pop
141,Jimmy Ruffin,What Becomes Of The Brokenhearted,1966.0,14,Rock/Soul/Pop
142,Frank Sinatra,Strangers In The Night,1966.0,15,Vocal Jazz/Pop
143,Beatles,We Can Work It Out,1966.0,16,Rock/Pop
144,Young Rascals,Good Lovin',1966.0,17,Hip-Hop
145,New Vaudeville Band,Winchester Cathedral,1966.0,18,Rock/Soul
146,Tommy James and The Shondells,Hanky Panky,1966.0,19,Rock/Pop
147,Percy Sledge,When A Man Loves A Woman,1966.0,20,Rock/Soul/Pop
148,Lulu,To Sir With Love,1967.0,1,Rock/Soul/Pop
149,Box Tops,The Letter,1967.0,2,Rock/Soul/Pop
150,Bobby Gentry,Ode To Billie Joe,1967.0,3,Rock/Soul/Pop
151,Association,Windy,1967.0,4,Pop/Folk Rock
152,Monkees,I'm A Believer,1967.0,5,Pop/Rock
153,Doors,Light My Fire,1967.0,6,Rock/Soul/Pop
154,Nancy Sinatra and Frank Sinatra,Somethin' Stupid,1967.0,7,Rock/Soul/Pop
155,Turtles,Happy Together,1967.0,8,Rock/Soul/Pop
156,Young Rascals,Groovin',1967.0,9,Hip-Hop
157,Frankie Valli,Can't Take My Eyes Off You,1967.0,10,Pop
158,Music Explosion,Little Bit O' Soul,1967.0,11,Rock/Soul/Pop
159,Tommy James and The Shondells,I Think We're Alone Now,1967.0,12,Rock/Pop
160,Aretha Franklin,Respect,1967.0,13,Soul/R&B
161,Stevie Wonder,I Was Made To Love Her,1967.0,14,Soul/R&B
162,Bobby Vee and The Strangers,Come Back When You Grow Up,1967.0,15,Pop
163,Buckinghams,Kind Of A Drag,1967.0,16,Rock/Soul/Pop
164,Arthur Conley,Sweet Soul Music,1967.0,17,Rock/Soul/Pop
165,Soul Survivors,Expressway To Your Heart,1967.0,18,Rock/Soul/Pop
166,Sam and Dave,Soul Man,1967.0,19,Rock/Soul/Pop
167,Association,Never My Love,1967.0,20,Pop/Folk Rock
168,Beatles,Hey Jude,1968.0,1,Rock/Pop
169,Paul Mauriat,Love Is Blue,1968.0,2,Rock/Soul/Pop
170,Bobby Goldsboro,Honey,1968.0,3,Rock/Soul/Pop
171,Otis Redding,(Sittin' On) The Dock Of The Bay,1968.0,4,Soul/R&B
172,Rascals,People Got To Be Free,1968.0,5,Rock/Soul/Pop
173,Cream,Sunshine Of Your Love,1968.0,6,Rock/Soul/Pop
174,Herb Alpert,This Guy's In Love With You,1968.0,7,Rock/Soul/Pop
175,Hugo Montenegro,"The Good, The Bad And The Ugly",1968.0,8,Rock/Soul/Pop
176,Simon and Garfunkel,Mrs. Robinson,1968.0,9,Rock/Soul/Pop
177,Archie Bell and The Drells,Tighten Up,1968.0,10,Rock/Soul
178,Jeannie C. Riley,Harper Valley P.T.A.,1968.0,11,Rock/Soul/Pop
179,O.C. Smith,Little Green Apples,1968.0,12,Rock/Soul/Pop
180,Tommy James and The Shondells,"Mony, Mony",1968.0,13,Rock/Pop
181,Doors,"Hello, I Love You",1968.0,14,Rock/Soul/Pop
182,Gary Puckett and The Union Gap,Young Girl,1968.0,15,Rock/Soul
183,Box Tops,Cry Like A Baby,1968.0,16,Rock/Soul/Pop
184,Fifth Dimension,Stoned Soul Picnic,1968.0,17,Rock/Soul/Pop
185,Grass Roots,Midnight Confessions,1968.0,19,Rock/Soul/Pop
186,Sly and The Family Stone,Dance To The Music,1968.0,20,Funk/Soul
187,Archies,"Sugar, Sugar",1969.0,1,Rock/Soul/Pop
188,Fifth Dimension,Aquarius / Let The Sunshine In,1969.0,2,Rock/Soul/Pop
189,Temptations,I Can't Get Next To You,1969.0,3,Soul/R&B
190,Rolling Stones,Honky Tonk Women,1969.0,4,Rock
191,Sly and The Family Stone,Everyday People,1969.0,5,Funk/Soul
192,Tommy Roe,Dizzy,1969.0,6,Rock/Soul/Pop
193,Sly and The Family Stone,Hot Fun In The Summertime,1969.0,7,Funk/Soul
194,Tom Jones,I'll Never Fall In Love Again,1969.0,8,Rock/Soul/Pop
195,Foundations,Build Me Up Buttercup,1969.0,9,Rock/Soul/Pop
196,Tommy James and The Shondells,Crimson And Clover,1969.0,10,Rock/Pop
197,Three Dog Night,One,1969.0,11,Rock
198,Tommy James and The Shondells,Crystal Blue Persuasion,1969.0,12,Rock/Pop
199,Cowsills,Hair,1969.0,13,Rock/Soul/Pop
200,Marvin Gaye,Too Busy Thinking About My Baby,1969.0,14,Soul/R&B
201,Youngbloods,Get Together,1969.0,16,Rock/Soul/Pop
202,Friends Of Distinction,Grazin' In The Grass,1969.0,17,Rock/Soul/Pop
203,Elvis Presley,Suspicious Minds,1969.0,18,Rock and Roll
204,Creedence Clearwater Revival,Proud Mary,1969.0,19,Rock/Soul/Pop
205,Jr. Walker and The All Stars,What Does It Take (To Win Your Love),1969.0,20,Soul/R&B
206,Carpenters,(They Long To Be) Close To You,1970.0,2,Pop/Soft Rock
207,Guess Who,American Woman / No Sugar Tonight,1970.0,3,Rock/Soul/Pop
208,B.J. Thomas,Raindrops Keep Fallin' On My Head,1970.0,4,Rock/Soul/Pop
209,Edwin Starr,War,1970.0,5,Rock/Soul/Pop
210,Diana Ross,Ain't No Mountain High Enough,1970.0,6,Pop/Soul
211,Jackson 5,I'll Be There,1970.0,7,Soul/Pop
212,Rare Earth,Get Ready,1970.0,8,Rock/Soul/Pop
213,Beatles,Let It Be,1970.0,9,Rock/Pop
214,Freda Payne,Band Of Gold,1970.0,10,Rock/Soul/Pop
215,Three Dog Night,Mama Told Me (Not To Come),1970.0,11,Rock
216,Ray Stevens,Everything Is Beautiful,1970.0,12,Rock/Soul/Pop
217,Bread,Make It With You,1970.0,13,Rock/Soul/Pop
218,Vanity Fare,Hitchin' A Ride,1970.0,14,Rock/Soul/Pop
219,Jackson 5,ABC,1970.0,15,Soul/Pop
220,Jackson 5,The Love You Save,1970.0,16,Soul/Pop
221,Neil Diamond,Cracklin' Rose,1970.0,17,Pop/Rock
222,Dawn,Candida,1970.0,18,Rock/Soul/Pop
223,Eric Burdon and War,Spill The Wine,1970.0,20,Rock/Soul/Pop
224,Five Stairsteps,O-o-h Child,1970.0,21,Rock/Soul/Pop
225,Norman Greenbaum,Spirit In The Sky,1970.0,22,Rock/Soul/Pop
226,Melanie and The Edwin Hawkins Singers,Lay Down (Candles In The Rain),1970.0,23,Rock/Soul
227,Temptations,Ball Of Confusion (That's What The World Is Today),1970.0,24,Soul/R&B
228,Moments,Love On A Two Way Street,1970.0,25,Rock/Soul/Pop
229,Jackson 5,I Want You Back,1970.0,26,Soul/Pop
230,Poppy Family,Which Way You Goin' Billy?,1970.0,27,Rock/Soul/Pop
231,Free,All Right Now,1970.0,28,Rock/Soul/Pop
232,Bobby Sherman,"Julie, Do Ya Love Me",1970.0,29,Rock/Soul/Pop
233,Sugarloaf,Green-Eyed Lady,1970.0,30,Rock/Soul/Pop
234,Stevie Wonder,"Signed Sealed, Delivered (I'm Yours)",1970.0,31,Soul/R&B
235,Blues Image,Ride Captain Ride,1970.0,32,Rock/Soul/Pop
236,Shocking Blue,Venus,1970.0,33,Rock/Soul/Pop
237,John Lennon,Instant Karma (We All Shine On),1970.0,34,Rock/Pop
238,Clarence Carter,Patches,1970.0,35,Rock/Soul/Pop
239,Brook Benton,Rainy Night In Georgia,1970.0,37,Rock/Soul/Pop
240,Kenny Rogers and The First Edition,Something's Burning,1970.0,38,Country/Pop
241,Chairmen Of The Board,Give Me Just A Little More Time,1970.0,39,Rock/Soul
242,Edison Lighthouse,Love Grows (Where My Rosemary Goes),1970.0,40,Rock/Soul/Pop
243,Beatles,The Long And Winding Road / For You Blue,1970.0,41,Rock/Pop
244,Anne Murray,Snowbird,1970.0,42,Rock/Soul/Pop
245,Marmalade,Reflections Of My Life,1970.0,43,Rock/Soul/Pop
246,Eddie Holman,Hey There Lonely Girl,1970.0,44,Rock/Soul/Pop
247,Jaggerz,The Rapper,1970.0,45,Rock/Soul/Pop
248,Hollies,"He Ain't Heavy, He's My Brother",1970.0,46,Rock/Pop
249,Alive and Kicking,"Tighter, Tighter",1970.0,47,Rock/Soul/Pop
250,Badfinger,Come And Get It,1970.0,48,Rock/Soul/Pop
251,Simon and Garfunkel,Cecelia,1970.0,49,Rock/Soul/Pop
252,Charles Wright and The Watts 103rd Street Rhythm Band,Love Land,1970.0,50,Rock/Soul
253,Three Dog Night,Joy To The World,1971.0,1,Rock
254,Rod Stewart,Maggie May / (Find A) Reason To Believe,1971.0,2,Rock/Pop
255,Carole King,It's Too Late / I Feel The Earth Move,1971.0,3,Rock/Soul/Pop
256,Osmonds,One Bad Apple,1971.0,4,Pop
257,Bee Gees,How Can You Mend A Broken Heart,1971.0,5,Disco/Pop
258,Raiders,Indian Reservation,1971.0,6,Rock/Soul/Pop
259,Donny Osmond,Go Away Little Girl,1971.0,7,Rock/Soul/Pop
260,John Denver,"Take Me Home, Country Roads",1971.0,8,Folk/Country
261,Temptations,Just My Imagination (Running Away With Me),1971.0,9,Soul/R&B
262,Dawn,Knock Three Times,1971.0,10,Rock/Soul/Pop
263,Janis Joplin,Me And Bobby McGee,1971.0,11,Rock/Soul/Pop
264,Al Green,Tired Of Being Alone,1971.0,12,Rock/Soul/Pop
265,Honey Cone,Want Ads,1971.0,13,Rock/Soul/Pop
266,Undisputed Truth,Smiling Faces Sometimes,1971.0,14,Rock/Soul/Pop
267,Cornelius Brothers and Sister Rose,Treat Her Like A Lady,1971.0,15,Rock/Soul
268,Rolling Stones,Brown Sugar,1971.0,16,Rock
269,James Taylor,You've Got A Friend,1971.0,17,Rock/Soul/Pop
270,Jean Knight,Mr. Big Stuff,1971.0,18,Rock/Soul/Pop
271,Lee Michaels,Do You Know What I Mean,1971.0,19,Rock/Soul/Pop
272,Joan Baez,The Night They Drove Old Dixie Down,1971.0,20,Folk
273,Marvin Gaye,What's Going On,1971.0,21,Soul/R&B
274,Paul and Linda McCartney,Uncle Albert-Admiral Halsey,1971.0,22,Rock/Soul/Pop
275,Bill Withers,Ain't No Sunshine,1971.0,23,Rock/Soul/Pop
276,Five Man Electrical Band,Signs,1971.0,24,Rock/Soul
277,Tom Jones,She's A Lady,1971.0,25,Rock/Soul/Pop
278,Free Movement,I Found Someone Of My Own,1971.0,26,Rock/Soul/Pop
279,Jerry Reed,Amos Moses,1971.0,28,Rock/Soul/Pop
280,Grass Roots,Temptation Eyes,1971.0,29,Rock/Soul/Pop
281,Carpenters,Superstar,1971.0,30,Pop/Soft Rock
282,George Harrison,My Sweet Lord / Isn't It A Pity,1971.0,31,Rock/Pop
283,Donny Osmond,Sweet And Innocent,1971.0,32,Rock/Soul/Pop
284,Ocean,Put Your Hand In The Hand,1971.0,33,Rock/Soul/Pop
285,Daddy Dewdrop,Chick-A-Boom (Don't Ya Jes' Love It),1971.0,34,Rock/Soul/Pop
286,Carpenters,For All We Know,1971.0,35,Pop/Soft Rock
287,Gordon Lightfoot,If You Could Read My Mind,1971.0,36,Rock/Soul/Pop
288,Sammi Smith,Help Me Make It Through The Night,1971.0,37,Rock/Soul/Pop
289,Carpenters,Rainy Days And Mondays,1971.0,38,Pop/Soft Rock
290,Cher,"Gypsy, Tramps And Thieves",1971.0,39,Pop/Rock/Dance
291,Jackson 5,Never Can Say Goodbye,1971.0,40,Soul/Pop
292,Lynn Anderson,Rose Garden,1971.0,41,Rock/Soul/Pop
293,"Hamilton, Joe Frank and Reynolds",Don't Pull Your Love,1971.0,42,Rock/Soul/Pop
294,Ringo Starr,It Don't Come Easy,1971.0,43,Rock/Soul/Pop
295,Nitty Gritty Dirt Band,Mr. Bojangles,1971.0,44,Rock/Soul
296,Fuzz,I Love You For All Seasons,1971.0,45,Rock/Soul/Pop
297,Dramatics,Whatcha See Is Whatcha Get,1971.0,46,Rock/Soul/Pop
298,Carly Simon,That's The Way I've Always Heard It Should Be,1971.0,47,Rock/Soul/Pop
299,Stevie Wonder,If You Really Love Me,1971.0,48,Soul/R&B
300,Aretha Franklin,Spanish Harlem,1971.0,49,Soul/R&B
301,Helen Reddy,I Don't Know How To Love Him,1971.0,50,Pop
302,Roberta Flack,The First Time Ever I Saw Your Face,1972.0,1,Soul/R&B
303,Gilbert O'Sullivan,Alone Again (Naturally),1972.0,2,Rock/Soul/Pop
304,Don McLean,American Pie,1972.0,3,Rock/Soul/Pop
305,Nilsson,Without You,1972.0,4,Rock/Soul/Pop
306,Sammy Davis Jr.,Candy Man,1972.0,5,Rock/Soul/Pop
307,Joe Tex,I Gotcha,1972.0,6,Rock/Soul/Pop
308,Bill Withers,Lean On Me,1972.0,7,Rock/Soul/Pop
309,Mac Davis,Baby Don't Get Hooked On Me,1972.0,8,Rock/Soul/Pop
310,Melanie,Brand New Key,1972.0,9,Rock/Soul/Pop
311,Wayne Newton,Daddy Don't You Walk So Fast,1972.0,10,Rock/Soul/Pop
312,Al Green,Let's Stay Together,1972.0,11,Rock/Soul/Pop
313,Looking Glass,Brandy (You're A Fine Girl),1972.0,12,Rock/Soul/Pop
314,Chi-Lites,Oh Girl,1972.0,13,Rock/Soul/Pop
315,Gallery,Nice To Be With You,1972.0,14,Rock/Soul/Pop
316,Chuck Berry,My Ding-A-Ling,1972.0,15,Rock and Roll
317,Luther Ingram,If Loving You Is Wrong I Don't Want To Be Right,1972.0,16,Rock/Soul/Pop
318,Neil Young,Heart Of Gold,1972.0,17,Rock/Soul/Pop
319,Stylistics,"Betcha By Golly, Wow",1972.0,18,Rock/Soul/Pop
320,Staple Singers,I'll Take You There,1972.0,19,Rock/Soul/Pop
321,Michael Jackson,Ben,1972.0,20,Pop/R&B
322,Robert John,The Lion Sleeps Tonight,1972.0,21,Rock/Soul/Pop
323,War,Slippin' Into Darkness,1972.0,23,Rock/Soul/Pop
324,Hollies,Long Cool Woman (In A Black Dress),1972.0,24,Rock/Pop
325,Mouth and MacNeal,How Do You Do,1972.0,25,Rock/Soul/Pop
326,Neil Diamond,Song Sung Blue,1972.0,26,Pop/Rock
327,America,A Horse With No Name,1972.0,27,Rock/Soul/Pop
328,Main Ingredient,Everybody Plays The Fool,1972.0,29,Rock/Soul/Pop
329,Climax,Precious And Few,1972.0,30,Rock/Soul/Pop
330,5th Dimension,Last Night I Didn't Get To Sleep At All,1972.0,31,Rock/Soul/Pop
331,Moody Blues,Nights In White Satin,1972.0,32,Rock/Soul/Pop
332,Raspberries,Go All The Way,1972.0,33,Rock/Soul/Pop
333,Cornelius Brothers and Sister Rose,Too Late To Turn Back Now,1972.0,34,Rock/Soul
334,O'Jays,Back Stabbers,1972.0,35,Soul/R&B
335,Osmonds,Down By The Lazy River,1972.0,36,Pop
336,Jonathan Edwards,Sunshine,1972.0,37,Rock/Soul/Pop
337,Mel and Tim,Starting All Over Again,1972.0,38,Rock/Soul/Pop
338,Badfinger,Day Atter Day,1972.0,39,Rock/Soul/Pop
339,Elton John,Rocket Man,1972.0,40,Rock/Pop
340,Michael Jackson,Rockin' Robin,1972.0,41,Pop/R&B
341,Daniel Boone,Beautiful Sunday,1972.0,42,Rock/Soul/Pop
342,Cat Stevens,Morning Has Broken,1972.0,44,Rock/Soul/Pop
343,Arlo Guthrie,The City Of New Orleans,1972.0,45,Rock/Soul/Pop
344,Rick Nelson,Garden Party,1972.0,46,Rock/Soul/Pop
345,Johnny Nash,I Can See Clearly Now,1972.0,47,Rock/Soul/Pop
346,Elvis Presley,Burning Love,1972.0,48,Rock and Roll
347,Betty Wright,Clean Up Woman,1972.0,49,Rock/Soul/Pop
348,Argent,Hold Your Head Up,1972.0,50,Rock/Soul/Pop
349,Tony Orlando and Dawn,Tie A Yellow Ribbon Round The Ole Oak Tree,1973.0,1,Pop
350,Jim Croce,Bad Bad Leroy Brown,1973.0,2,Rock/Soul/Pop
351,Roberta Flack,Killing Me Softly With His Song,1973.0,3,Soul/R&B
352,Marvin Gaye,Let's Get It On,1973.0,4,Soul/R&B
353,Paul McCartney and Wings,My Love,1973.0,5,Rock/Soul/Pop
354,Kris Kristofferson,Why Me,1973.0,6,Rock/Soul/Pop
355,Elton John,Crocodile Rock,1973.0,7,Rock/Pop
356,Billy Preston,Will It Go Round In Circles,1973.0,8,Rock/Soul/Pop
357,Carly Simon,You're So Vain,1973.0,9,Rock/Soul/Pop
358,Diana Ross,Touch Me In The Morning,1973.0,10,Pop/Soul
359,Vicki Lawrence,The Night The Lights Went Out In Georgia,1973.0,11,Rock/Soul/Pop
360,Clint Holmes,Playground In My Mind,1973.0,12,Rock/Soul/Pop
361,Stories,Brother Louie,1973.0,13,Rock/Soul/Pop
362,Helen Reddy,Delta Dawn,1973.0,14,Pop
363,Billy Paul,Me And Mrs. Jones,1973.0,15,Rock/Soul/Pop
364,Dobie Gray,Drift Away,1973.0,17,Rock/Soul/Pop
365,Sweet,Little Willy,1973.0,18,Glam Rock
366,Stevie Wonder,You Are The Sunshine Of My Life,1973.0,19,Soul/R&B
367,Cher,Half Breed,1973.0,20,Pop/Rock/Dance
368,Isley Bros.,That Lady,1973.0,21,Rock/Soul/Pop
369,Sylvia,Pillow Talk,1973.0,22,Rock/Soul/Pop
370,Grand Funk Railroad,We're An American Band,1973.0,23,Rock/Soul/Pop
371,Dr. John,"Right Place, Wrong Time",1973.0,24,Rock/Soul/Pop
372,Skylark,Wildflower,1973.0,25,Rock/Soul/Pop
373,Stevie Wonder,Superstition,1973.0,26,Soul/R&B
374,Paul Simon,Loves Me Like A Rock,1973.0,27,Folk/Pop
375,Maureen McGovern,The Morning After,1973.0,28,Rock/Soul/Pop
376,John Denver,Rocky Mountain High,1973.0,29,Folk/Country
377,Stealers Wheel,Stuck In The Middle With You,1973.0,30,Rock/Soul/Pop
378,Three Dog Night,Shambala,1973.0,31,Rock
379,O'Jays,Love Train,1973.0,32,Soul/R&B
380,Barry White,I'm Gonna Love You Just A Little More,1973.0,33,Rock/Soul/Pop
381,Tony Orlando and Dawn,"Say, Has Anybody Seen My Sweet Gypsy Rose",1973.0,34,Pop
382,Eddie Kendricks,Keep On Truckin' (Pt. 1),1973.0,35,Rock/Soul/Pop
383,King Harvest,Dancing In The Moonlight,1973.0,36,Rock/Soul/Pop
384,Anne Murray,Danny's Song,1973.0,37,Rock/Soul/Pop
